# object_id           type   color   comment  
  41099766121129411   99     0       none     
  41099890675183356   99     0       none     
  41100045294009396   99     0       none     
  41100049588981248   99     0       none     
  41100457610866984   99     0       none     
  41104155577705631   99     0       none     
  41104172757583885   99     0       none     
  41104280131761307   99     0       none     
  41104421865686397   99     0       none     
  41104439045553476   99     0       none     
  41104439045554653   99     0       none     
  41104563599603170   99     0       none     
  41104567894568508   99     0       none     
  41104580779471325   99     0       none     
  41104580779472572   99     0       none     
  41104585074442942   99     0       none     
  41104589369406911   99     0       none     
  41104696743590024   99     0       none     
  41104696743590025   99     0       none     
  41104847067447472   99     0       none     
  41104851362407091   99     0       none     
  41104971621488563   99     0       none     
  41104984506402358   99     0       none     
  41105117650381567   99     0       none     
  41108540739317690   99     0       none     
  41108562214160498   99     0       none     
  41108691063173947   99     0       none     
  41108695358147059   99     0       none     
  41108841387035011   99     0       none     
  41108849976959109   99     0       none     
  41108961646115628   99     0       none     
  41108987415915977   99     0       none     
  41109111969971005   99     0       none     
  41109116264931392   99     0       none     
  41109249408918479   99     0       none     
  41109249408924704   99     0       none     
  41109249408925577   99     0       none     
  41109253703888370   99     0       none     
  41109253703891248   99     0       none     
  41109253703893405   99     0       none     
  41109257998852990   99     0       none     
  41109369668004204   99     0       none     
  41109369668005554   99     0       none     
  41109382552908114   99     0       none     
  41109386847874184   99     0       none     
  41109391142843785   99     0       none     
  41109391142847122   99     0       none     
  41109391142847729   99     0       none     
  41109395437808418   99     0       none     
  41109395437811314   99     0       none     
  41109399732775007   99     0       none     
  41109511401926698   99     0       none     
  41109670315721169   99     0       none     
  41109674610681824   99     0       none     
  41113089109688138   99     0       none     
  41113235138577084   99     0       none     
  41113239433542200   99     0       none     
  41113363987587528   99     0       none     
  41113372577527546   99     0       none     
  41113372577528948   99     0       none     
  41113492836606051   99     0       none     
  41113497131574300   99     0       none     
  41113518606419596   99     0       none     
  41113630275561806   99     0       none     
  41113634570538125   99     0       none     
  41113656045365574   99     0       none     
  41113656045369175   99     0       none     
  41113784894387647   99     0       none     
  41113793484320463   99     0       none     
  41113909448441200   99     0       none     
  41113913743409710   99     0       none     
  41113918038377270   99     0       none     
  41114068362231300   99     0       none     
  41118028322074138   99     0       none     
  41118045501946723   99     0       none     
  41118178645931309   99     0       none     
  41118187235869645   99     0       none     
  41118320379848348   99     0       none     
  42027753934964774   99     0       none     
  42027869899089040   99     0       none     
  42027899963856336   99     0       none     
  42027899963859124   99     0       none     
  42028011633007859   99     0       none     
  42028174841761350   99     0       none     
  42028303690784712   99     0       none     
  42028441129736565   99     0       none     
  42028445424704901   99     0       none     
  42032139096573979   99     0       none     
  42032156276448028   99     0       none     
  42032160571409030   99     0       none     
  42032280830502872   99     0       none     
  42032280830503213   99     0       none     
  42032280830504789   99     0       none     
  42032280830504900   99     0       none     
  42032285125466674   99     0       none     
  42032293715397072   99     0       none     
  42032293715400893   99     0       none     
  42032413974479604   99     0       none     
